UF,Aparelho,SaleAmt,SaleQt,BcpFund,SaleCostAmt,GrossProfitAmt,Price,SMU%,GM%,BCP%,Cost
SC,SAMSUNG A346M GALAXY A34 5G 128GB,1314.62,1,165.35,1098.2,174.24,1314.62,0.16462551916143053,0.1325402017312988,0.12577779130090824,1098.2
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,159.69,582.35,94.94,770.88,0.24456465338314648,0.12315794935657949,0.20715286425902865,582.35
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,832.27,1,174.48,626.69,104.68,832.27,0.24701118627368512,0.1257764908022637,0.20964350511252358,626.69
PR,LENOVO XT2343-1 MOTO G54 5G 128GB,1051.52,1,279.89,733.37,194.9,1051.52,0.30256200547778456,0.18535073037127206,0.26617658247108944,733.37
MG,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,285.01,585.38,41.79,902.43,0.3513291889675654,0.04630830092084705,0.3158250501423933,585.38
MG,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,280.26,564.81,44.33,876.12,0.3553280372551706,0.05059809158562754,0.31988768661827144,564.81
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,223.22,620.85,151.87,876.12,0.2913641966853855,0.1733438341779665,0.25478244989270876,620.85
PR,SAMSUNG A145M GALAXY A14 128GB,788.42,1,175.35,583.78,109.77,788.42,0.2595570888612668,0.13922782273407575,0.22240683899444458,583.78
SC,SAMSUNG A546E GALAXY A54 5G 128GB,1621.57,1,277.88,1282.0,292.81,1621.57,0.20940816615995606,0.18057191487262345,0.17136478844576553,1282.0
MG,SAMSUNG A057M GALAXY A05s 128GB,876.12,1,326.7,519.19,93.26,876.12,0.4073985298817513,0.10644660548783272,0.37289412409259004,519.19
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,223.46,620.61,152.12,876.12,0.2916381317627722,0.17362918321691093,0.2550563849700954,620.61
PR,SAMSUNG A146M GALAXY A14 5G 128GB,2568.33,3,411.32,2058.79,189.09,856.11,0.1983935086223344,0.07362371657847706,0.1601507594429065,686.2633333333333
RS,SAMSUNG A145M GALAXY A14 128GB,2312.65,3,723.64,1506.76,175.54,770.8833333333333,0.3484703694895467,0.07590426566925387,0.3129051088578038,502.25333333333333
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1525.84,1,192.25,1274.33,57.41,1525.84,0.16483379646620877,0.037625176951711845,0.1259961726000105,1274.33
SC,LENOVO XT2239-1 MOTO E22 128GB,1288.65,2,208.62,1030.78,219.84,644.325,0.20010864082567037,0.1705971365382377,0.16189035036666277,515.39
PR,LENOVO XT2239-1 MOTO E22 128GB,691.95,1,199.44,467.6,144.33,691.95,0.32422862923621654,0.2085844352915673,0.28822891827444175,467.6
ES,SAMSUNG A145M GALAXY A14 128GB,788.42,1,92.65,665.03,22.63,788.42,0.15650287917607364,0.028702975571395957,0.11751350802871567,665.03
PR,SAMSUNG A546E GALAXY A54 5G 128GB,3227.01,2,454.86,2647.66,172.3,1613.505,0.17953151679108537,0.05339307904220935,0.14095401005884703,1323.83
PR,SAMSUNG S711B GALAXY S23 FE 5G 128GB,2630.12,1,688.87,1845.36,475.67,2630.12,0.2983742186668289,0.18085486593767586,0.26191580612291454,1845.36
PR,SAMSUNG S911B GALAXY S23 5G 128GB,2533.98,1,257.11,2177.35,29.86,2533.98,0.14073907449940415,0.011783834126551906,0.10146488922564503,2177.35
PR,LENOVO XT2341-1 MOTO G14 128GB,1489.15,2,365.76,1068.67,243.74,744.575,0.28236242151562974,0.1636772655541752,0.24561662693482858,534.335
PR,SAMSUNG A546E GALAXY A54 5G 128GB,5259.36,3,1270.18,3795.55,838.1,1753.12,0.27832473913175737,0.15935398983906787,0.24150847251376595,1265.1833333333334
PR,LENOVO XT2341-1 MOTO G14 128GB,1211.79,2,135.33,1029.09,27.31,605.895,0.1507686975466046,0.02253690821016843,0.11167776594954573,514.545
PR,SAMSUNG A146M GALAXY A14 5G 128GB,1752.25,2,396.25,1291.01,250.85,876.125,0.26322727921244116,0.1431587958339278,0.2261378227992581,645.505
MG,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,266.39,578.43,29.72,876.12,0.3397822216134777,0.03392229374971465,0.3040565219376341,578.43
SC,LENOVO XT2239-1 MOTO E22 128GB,596.69,1,54.48,518.67,57.41,596.69,0.1307546632254606,0.09621411453183394,0.0913036920343897,518.67
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,432.37,1256.36,288.83,1753.12,0.28335767089531805,0.16475198503239938,0.24662886739070916,1256.36
PR,SAMSUNG A057M GALAXY A05s 128GB,788.51,1,167.07,592.0,101.03,788.51,0.24921687740168164,0.12812773458802046,0.21188063562922474,592.0
PR,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,189.31,679.39,113.63,902.43,0.24715490398147222,0.12591558348015913,0.20977804372638323,679.39
PR,SAMSUNG A546E GALAXY A54 5G 128GB,3103.59,2,435.16,2548.66,163.28,1551.795,0.17880261245847562,0.0526100419191968,0.14021181921581136,1274.33
MG,SAMSUNG A145M GALAXY A14 128GB,2312.65,3,759.28,1471.74,137.54,770.8833333333333,0.3636131710375543,0.05947289905519641,0.32831600112425136,490.58
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,154.37,587.57,89.33,770.88,0.23779317144043166,0.11588055209630552,0.2002516604400166,587.57
PR,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,181.39,687.18,105.28,902.43,0.23852265549682528,0.11666278824950413,0.2010017397471272,687.18
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,832.27,1,181.96,619.34,112.56,832.27,0.2558424549725449,0.1352445720739664,0.21863097312170332,619.34
ES,SAMSUNG S911B GALAXY S23 5G 128GB,3068.62,1,665.74,2288.59,409.58,3068.62,0.25419569708859346,0.1334736787220314,0.21695094211730356,2288.59
MG,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,263.18,581.59,26.33,876.12,0.33617540976121985,0.030052960781628085,0.30039264027758755,581.59
MG,LENOVO XT2343-1 MOTO G54 5G 128GB,1043.5,1,330.93,675.54,49.77,1043.5,0.35262098706276956,0.04769525634882607,0.31713464302827027,675.54
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,522.22,1168.09,383.51,1753.12,0.33370790362325453,0.21875855617413525,0.2978803504608926,1168.09
ES,SAMSUNG A146M GALAXY A14 5G 128GB,3609.73,4,442.42,3026.89,122.78,902.4325,0.16146359977061997,0.03401362428768911,0.12256318339598807,756.7225
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,1752.25,2,435.05,1252.9,291.73,876.125,0.284976458838636,0.16648880011413897,0.2482807818519047,626.45
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,168.0,675.1,93.69,876.12,0.22944345523444276,0.10693740583481715,0.19175455417066156,675.1
PR,SAMSUNG A145M GALAXY A14 128GB,1576.85,2,217.7,1298.23,79.4,788.425,0.17669404191901572,0.050353552969527864,0.13806005644164,649.115
MG,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,259.22,585.48,22.16,876.12,0.3317353787152445,0.025293338812034882,0.2958727115007077,585.48
PR,LENOVO XT2341-1 MOTO G14 128GB,2233.72,3,621.63,1531.29,442.53,744.5733333333333,0.3144664505846748,0.19811346095302904,0.2782936088677184,510.43
PR,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,177.76,690.75,101.46,902.43,0.23456666999102416,0.11242977294637811,0.19697926708996819,690.75
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,217.17,626.79,145.5,876.12,0.2845843035200658,0.16607314066566223,0.24787700315025338,626.79
SC,SAMSUNG A546E GALAXY A54 5G 128GB,1510.42,1,161.88,1289.37,170.58,1510.42,0.14635002184822776,0.1129354749010209,0.10717548761271699,1289.37
PR,LENOVO XT2341-1 MOTO G14 128GB,1350.47,2,289.66,1010.45,176.74,675.235,0.2517790102704984,0.13087295534147372,0.21448828926225685,505.225
RS,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,493.42,1196.39,74.97,1753.12,0.31756525508807143,0.042763758328009494,0.2814524961212011,1196.39
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,151.73,590.16,86.56,770.88,0.2344333748443338,0.11228725612287256,0.19682700290577002,590.16
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1577.72,1,296.95,1221.21,162.82,1577.72,0.22596531703977896,0.10319955378647667,0.18821463884592957,1221.21
PR,LENOVO XT2341-1 MOTO G14 128GB,700.78,1,160.45,514.37,102.41,700.78,0.26600359599303625,0.14613716144867148,0.22895915979337308,514.37
MG,LENOVO XT2341-1 MOTO G14 128GB,1350.47,2,404.2,897.92,39.03,675.235,0.3351055558435212,0.028901049264330195,0.29930320555066015,448.96
RS,SAMSUNG A145M GALAXY A14 128GB,1576.85,2,538.64,982.92,167.36,788.425,0.3766559913752101,0.10613565018866729,0.34159241525826806,491.46
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,963.82,1,308.75,620.92,233.65,963.82,0.3557718246145547,0.24242078396381067,0.32033989749123276,620.92
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,924.74,1,347.89,544.99,101.67,924.74,0.4106559681640245,0.10994441680904903,0.3762030408547267,544.99
RS,SAMSUNG A055M GALAXY A05 128GB,700.72,1,267.63,409.02,104.17,700.72,0.41628610571983105,0.14866137686950565,0.38193572325607944,409.02
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1621.57,1,285.69,1274.33,146.77,1621.57,0.2141381500644437,0.09051104793502594,0.17618110843195176,1274.33
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,1900.58,2,591.38,1241.55,262.67,950.29,0.34675204411284977,0.13820517947152977,0.31115764661313916,620.775
PR,SAMSUNG A146M GALAXY A14 5G 128GB,1752.25,2,405.85,1281.58,260.98,876.125,0.2686089313739478,0.1489399343700956,0.2316164930803253,640.79
PR,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,178.5,690.02,102.24,902.43,0.23537559699921318,0.11329410591403212,0.1977992752900502,690.02
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,414.09,1274.33,269.56,1753.12,0.2731073742812814,0.1537601533266405,0.23620174317787715,1274.33
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,5160.85,6,1740.93,3238.57,356.01,860.1416666666668,0.37247352664774214,0.06898282259705281,0.3373339663040003,539.7616666666667
ES,SAMSUNG A346M GALAXY A34 5G 128GB,2629.25,2,276.13,2250.03,40.84,1314.625,0.1442312446515165,0.015532946657792148,0.10502234477512598,1125.015
SC,SAMSUNG A146M GALAXY A14 5G 128GB,1752.25,2,227.1,1457.2,239.3,876.125,0.16838350691967463,0.13656727065201885,0.12960479383649592,728.6
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,122.55,719.75,45.8,876.12,0.17848011687896637,0.052275943934620824,0.13987809889056294,719.75
PR,SAMSUNG A055M GALAXY A05 128GB,700.72,1,235.72,440.37,181.73,700.72,0.37154640940746664,0.25934752825665025,0.3363968489553602,440.37
RS,LENOVO XT2341-1 MOTO G14 128GB,1350.47,2,410.32,891.9,89.61,675.235,0.3395632631602331,0.06635467652002636,0.30383496116166964,445.95
SC,SAMSUNG A057M GALAXY A05s 128GB,876.12,1,201.24,642.45,212.05,876.12,0.26671003972058616,0.24203305483267135,0.22969456238871389,642.45
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,223.15,620.92,151.8,876.12,0.29128429895448116,0.17326393644706206,0.2547025521618043,620.92
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1665.42,1,335.02,1267.91,194.58,1665.42,0.2386845360329526,0.11683539287386965,0.20116246952720632,1267.91
MG,SAMSUNG A145M GALAXY A14 128GB,788.42,1,265.26,495.44,53.65,788.42,0.37160396742852786,0.06804748737982294,0.3364450419826996,495.44
MG,SAMSUNG A145M GALAXY A14 128GB,2365.27,3,826.43,1456.23,193.23,788.4233333333333,0.38432821622901403,0.08169469024677943,0.3494019710223357,485.41
SC,SAMSUNG A346M GALAXY A34 5G 128GB,1314.62,1,136.32,1126.73,143.65,1314.62,0.1429234303448904,0.10927112017160853,0.1036953644399142,1126.73
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,306.51,539.02,71.99,876.12,0.38476464411267863,0.08216910925444003,0.3498493357074373,539.02
MG,SAMSUNG A146M GALAXY A14 5G 128GB,3504.49,4,1040.37,2338.5,92.31,876.1225,0.33271317652497223,0.026340494622612707,0.296867732537402,584.625
ES,SAMSUNG A346M GALAXY A34 5G 128GB,2629.25,2,273.07,2253.03,37.62,1314.625,0.1430902348578491,0.01430826281258914,0.10385851478558523,1126.515
RS,LENOVO XT2341-1 MOTO G14 128GB,1489.15,2,518.21,918.89,168.1,744.575,0.3829432897961925,0.11288318839606486,0.34799046435886244,459.445
RS,SAMSUNG A145M GALAXY A14 128GB,788.42,1,264.68,496.02,78.8,788.42,0.37086831891631367,0.09994672890083965,0.3357093934704853,496.02
PR,SAMSUNG A057M GALAXY A05s 128GB,876.12,1,252.59,592.0,182.81,876.12,0.32429347577957357,0.20865863123772999,0.2883052549879012,592.0
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,192.57,650.96,119.57,876.12,0.25699675843491754,0.13647673834634524,0.2197986577181208,650.96
MG,SAMSUNG A145M GALAXY A14 128GB,788.42,1,263.47,497.21,51.76,788.42,0.3693589711067705,0.06565028791760737,0.33417467847086585,497.21
PR,SAMSUNG A145M GALAXY A14 128GB,3715.67,5,539.79,3032.82,215.33,743.134,0.183775738964978,0.057951863324783956,0.14527393444520098,606.5640000000001
PR,SAMSUNG A146M GALAXY A14 5G 128GB,1752.24,2,370.51,1316.29,223.73,876.12,0.2487958270556545,0.1276822809660777,0.21144934483860658,658.145
ES,SAMSUNG A145M GALAXY A14 128GB,2312.65,3,257.44,1964.79,51.27,770.8833333333333,0.15041618922015876,0.022169372797440166,0.11131818476639353,654.93
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,2489.44,3,534.2,1862.41,326.09,829.8133333333334,0.2518759239025644,0.13098929879812327,0.2145864130085481,620.8033333333334
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1567.46,1,198.47,1308.13,60.01,1567.46,0.1654460081915965,0.038284868513391086,0.12661886108736425,1308.13
PR,SAMSUNG A546E GALAXY A54 5G 128GB,3263.55,2,502.24,2636.14,218.75,1631.775,0.19224770571923222,0.06702823612324002,0.15389376599102203,1318.07
PR,LENOVO XT2341-1 MOTO G14 128GB,807.81,1,230.82,547.88,166.38,807.81,0.32177120857627406,0.2059642737772496,0.2857355071118209,547.88
RS,SAMSUNG A145M GALAXY A14 128GB,2365.27,3,755.88,1525.54,196.17,788.4233333333333,0.355025007715821,0.08293767730533934,0.3195745094640358,508.5133333333333
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,1656.74,2,520.19,1077.66,73.52,828.37,0.34952979948573704,0.04437630527421321,0.3139840892354866,538.83
PR,SAMSUNG A057M GALAXY A05s 128GB,780.62,1,159.37,592.0,93.66,780.62,0.2416284491814199,0.11998155312443955,0.2041582331992519,592.0
PR,LENOVO XT2343-1 MOTO G54 5G 128GB,1139.22,1,257.41,839.56,162.86,1139.22,0.26303962360211375,0.14295746212320712,0.2259528449289865,839.56
SC,SAMSUNG A145M GALAXY A14 128GB,788.42,1,132.16,626.21,139.26,788.42,0.2057405951142791,0.17663174450166155,0.16762639202455545,626.21
PR,SAMSUNG A055M GALAXY A05 128GB,1319.01,2,390.97,880.74,286.5,659.505,0.33227193122114307,0.2172083608160666,0.2964117027164313,440.37
PR,SAMSUNG A055M GALAXY A05 128GB,4809.78,7,1557.03,3082.6,1183.16,687.1114285714285,0.35909750549921204,0.24599046110217102,0.3237216671032771,440.37142857142857
PR,LENOVO XT2341-1 MOTO G14 128GB,788.42,1,247.46,512.93,185.76,788.42,0.34942035970675533,0.23561046142918748,0.31386824281474346,512.93
PR,SAMSUNG A546E GALAXY A54 5G 128GB,4725.16,3,725.26,3818.65,314.7,1575.0533333333333,0.19184747183164164,0.06660091933394847,0.15348898238366532,1272.8833333333334
PR,LENOVO XT2341-1 MOTO G14 128GB,700.78,1,157.11,517.65,98.89,700.78,0.2613230971203516,0.14111418704871714,0.224193042038871,517.65
MG,SAMSUNG A145M GALAXY A14 128GB,788.42,1,275.48,485.41,64.41,788.42,0.38432561325182,0.08169503564090205,0.34940767611171714,485.41
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,158.23,583.78,93.4,770.88,0.24270963055209638,0.12116023246160233,0.20525892486508923,583.78
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,576.29,1114.97,440.48,1753.12,0.3640081682942411,0.2512549055398376,0.3287225061604454,1114.97
PR,SAMSUNG S711B GALAXY S23 FE 5G 128GB,2630.12,1,686.49,1847.7,473.16,2630.12,0.2974845254208933,0.17990053685763388,0.2610109044454246,1847.7
RS,LENOVO XT2335-1 MOTO G53 5G 128GB,2628.37,3,904.56,1631.77,286.06,876.1233333333333,0.3791703603373954,0.10883551402580308,0.34415245950912543,543.9233333333333
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,216.5,627.45,144.79,876.12,0.28383098205725243,0.16526274939506003,0.2471122677258823,627.45
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1482.02,1,203.54,1221.21,73.49,1482.02,0.17598278025937564,0.049587724862012655,0.13733957706373734,1221.21
MG,SAMSUNG SMG990E GALAXY S21 FE 5G 128GB,1753.12,1,507.86,1182.19,32.92,1753.12,0.3256650999361138,0.018777950168841838,0.2896892397554075,1182.19
PR,SAMSUNG A145M GALAXY A14 128GB,2217.27,3,374.66,1758.15,183.86,739.09,0.2070654453449512,0.08292179121171532,0.16897355757305155,586.0500000000001
MG,SAMSUNG A346M GALAXY A34 5G 128GB,2708.78,2,809.83,1801.95,77.34,1354.39,0.33477432644954563,0.02855159887477019,0.2989648476435886,900.975
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,159.8,683.16,85.04,876.12,0.22024380221887419,0.09706432908733964,0.18239510569328404,683.16
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,159.04,683.9,84.24,876.12,0.21939916906359858,0.09615121216271744,0.18152764461489293,683.9
PR,LENOVO XT2341-1 MOTO G14 128GB,1576.85,2,402.29,1116.88,273.9,788.425,0.2917018105717093,0.17370073247296824,0.25512255445984083,558.44
PR,SAMSUNG A346M GALAXY A34 5G 128GB,1402.32,1,338.69,1012.0,223.49,1402.32,0.27833875292372634,0.15937161275600434,0.24152119345085288,1012.0
PR,SAMSUNG S711B GALAXY S23 FE 5G 128GB,5260.25,2,1381.6,3686.92,955.42,2630.125,0.29909795161826913,0.18163015065823868,0.2626491136352835,1843.46
SC,SAMSUNG A546E GALAXY A54 5G 128GB,4733.17,3,723.15,3828.4,762.01,1577.7233333333334,0.1911551877494364,0.16099358358140528,0.1527834411187428,1276.1333333333334
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,122.55,719.75,45.8,876.12,0.17848011687896637,0.052275943934620824,0.13987809889056294,719.75
PR,SAMSUNG A346M GALAXY A34 5G 128GB,2629.25,2,412.07,2116.47,184.09,1314.625,0.19502900066558915,0.07001616430541029,0.15672530189217457,1058.235
RS,LENOVO XT2341-1 MOTO G14 128GB,1576.85,2,603.81,918.89,236.04,788.425,0.41726226337318073,0.14969083933157878,0.3829216475885468,459.445
PR,SAMSUNG A145M GALAXY A14 128GB,788.42,1,161.23,597.66,94.89,788.42,0.24195225894827632,0.12035463331726745,0.20449760280053778,597.66
PR,SAMSUNG A057M GALAXY A05s 128GB,1752.25,2,505.17,1184.0,365.63,876.125,0.32429733200171207,0.2086631473819375,0.28829790269653305,592.0
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,220.56,623.47,149.06,876.12,0.2883737387572478,0.17013651098023103,0.25174633611833996,623.47
MG,SAMSUNG A546E GALAXY A54 5G 128GB,4725.16,3,1430.12,3126.13,153.32,1575.0533333333333,0.3384075883144697,0.032447578494696476,0.30266065064463427,1042.0433333333333
PR,SAMSUNG A146M GALAXY A14 5G 128GB,1752.25,2,316.45,1369.41,166.77,876.125,0.21848480525039227,0.09517477528891426,0.180596376087887,684.705
PR,SAMSUNG A346M GALAXY A34 5G 128GB,1319.83,1,207.44,1061.85,93.02,1319.83,0.19546456740640838,0.07047877378147185,0.15717175696870053,1061.85
MG,LENOVO XT2343-1 MOTO G54 5G 128GB,1139.22,1,363.9,734.94,57.08,1139.22,0.3548743877389793,0.050104457435789396,0.3194290830568283,734.94
ES,LENOVO XT2335-1 MOTO G53 5G 128GB,1752.25,2,250.57,1434.14,97.34,876.125,0.18154372949065478,0.055551433870737625,0.14299900128406334,717.07
MG,SAMSUNG A146M GALAXY A14 5G 128GB,1759.74,2,529.24,1167.54,53.55,879.87,0.3365269869412527,0.03043063179787923,0.3007489742802914,583.77
SC,SAMSUNG A057M GALAXY A05s 128GB,876.12,1,201.24,642.45,212.05,876.12,0.26671003972058616,0.24203305483267135,0.22969456238871389,642.45
MG,SAMSUNG A346M GALAXY A34 5G 128GB,1314.62,1,391.34,876.18,35.76,1314.62,0.3335108244207451,0.02720177693934369,0.29768298063318677,876.18
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,157.08,685.83,82.18,876.12,0.21719627448294754,0.09379993608181528,0.17929050814956857,685.83
PR,LENOVO XT2343-1 MOTO G54 5G 128GB,1139.22,1,365.49,733.37,276.75,1139.22,0.3562525236565369,0.2429293727287091,0.32082477484594724,733.37
PR,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,223.15,620.92,151.8,876.12,0.29128429895448116,0.17326393644706206,0.2547025521618043,620.92
PR,SAMSUNG A055M GALAXY A05 128GB,700.72,1,235.72,440.37,181.73,700.72,0.37154640940746664,0.25934752825665025,0.3363968489553602,440.37
MG,LENOVO XT2341-1 MOTO G14 128GB,1489.15,2,539.09,898.38,141.43,744.575,0.3967162475237552,0.09497364268206696,0.36201188597522077,449.19
MG,SAMSUNG A346M GALAXY A34 5G 128GB,1314.62,1,401.88,865.82,46.87,1314.62,0.34139142870183015,0.03565288828710959,0.30570050661027526,865.82
MG,SAMSUNG SMG990E GALAXY S21 FE 5G 128GB,1753.12,1,528.02,1162.39,54.16,1753.12,0.33695924979465175,0.030893492744364332,0.30118873779319155,1162.39
PR,SAMSUNG A145M GALAXY A14 128GB,788.42,1,175.35,583.78,109.78,788.42,0.2595570888612668,0.13924050632911394,0.22240683899444458,583.78
MG,SAMSUNG A146M GALAXY A14 5G 128GB,5073.62,6,1495.18,3396.37,122.04,845.6033333333334,0.3305825032225511,0.02405383138666278,0.29469688309333375,566.0616666666666
PR,SAMSUNG A346M GALAXY A34 5G 128GB,1314.62,1,239.89,1024.97,127.72,1314.62,0.22032982915215038,0.09715355007530695,0.18247858696809724,1024.97
PR,SAMSUNG A146M GALAXY A14 5G 128GB,902.43,1,189.54,679.17,113.87,902.43,0.24739869020311822,0.12618153208559113,0.2100329111399222,679.17
PR,SAMSUNG A245M GALAXY A24 128GB,1007.67,1,158.85,810.24,71.53,1007.67,0.19592723808389645,0.07098554090128713,0.15764089434040907,810.24
PR,SAMSUNG A057M GALAXY A05s 128GB,876.12,1,252.59,592.0,182.81,876.12,0.32429347577957357,0.20865863123772999,0.2883052549879012,592.0
MG,LENOVO XT2335-1 MOTO G53 5G 128GB,876.12,1,305.55,539.97,70.98,876.12,0.3836803177646897,0.08101629913710451,0.3487535953978907,539.97
MG,LENOVO XT2341-1 MOTO G14 128GB,788.42,1,312.59,448.95,103.52,788.42,0.4305700007610157,0.13130057583521473,0.39647649729839424,448.95
PR,LENOVO XT2341-1 MOTO G14 128GB,744.57,1,80.89,634.53,14.4,744.57,0.14778999959708294,0.019340021757524476,0.10863988610876076,634.53
PR,SAMSUNG A146M GALAXY A14 5G 128GB,876.12,1,164.26,678.78,89.74,876.12,0.22524311738118075,0.10242889101949504,0.18748573254805276,678.78
PR,SAMSUNG A146M GALAXY A14 5G 128GB,2489.44,3,443.37,1951.65,230.38,829.8133333333334,0.21602850440259658,0.09254290121473102,0.17810029564882063,650.5500000000001
PR,SAMSUNG A546E GALAXY A54 5G 128GB,3243.15,2,679.51,2442.42,407.49,1621.575,0.2468988483418898,0.12564636233291707,0.20952160707953685,1221.21
PR,SAMSUNG A546E GALAXY A54 5G 128GB,1753.12,1,417.03,1271.44,272.66,1753.12,0.27475586383134065,0.15552842931459343,0.23787875330838734,1271.44
PR,SAMSUNG A055M GALAXY A05 128GB,2102.17,3,675.03,1352.68,511.33,700.7233333333334,0.35653158402983587,0.2432391290904161,0.32111104239904475,450.8933333333334
PR,SAMSUNG A145M GALAXY A14 128GB,770.88,1,139.99,601.7,74.18,770.88,0.21946347031963465,0.09622768783727689,0.18159765462847655,601.7
